Player Name,Accurate Long Balls,Aerial Battles Lost,Aerial Battles Won,Appearances,Assists,Attack,Big Chances Created,Big Chances Missed,Blocked Shots,Catches,Clean Sheets,Clearances,Clearances Off Line,Club,Cross Accuracy %,Crosses,Defence,Discipline,Duels Lost,Duels Won,Errors Leading To Goal,Fouls,Goal Kicks,Goalkeeping,Goals,Goals Conceded,Goals From Freekick,Goals Per Match,Goals With Header,Goals With Left Foot,Goals With Right Foot,Headed Clearance,High Claims,Hit Woodwork,Interceptions,Last Man Tackles,Losses,Offsides,Own Goals,Passes,Passes Per Match,Penalties Saved,Penalties Scored,Position,Punches,Recoveries,Red Cards,Saves,Shooting Accuracy %,Shots,Shots On Target,Successful 50/50s,Sweeper Clearances,Tackle Success %,Tackles,Team Play,Through Balls,Throw Outs,Wins,Yellow Cards
José Holebas,79,40,74,48,5,,5,0,19,0,9,165,1,Watford,21,212,,,239,269,2,56,,0,2,86,0,0,0,2,0,78,0,0,93,0,24,1,0,1677,34.94,0,0,Defender,0,327,0,0,,0,0,68,0,67,96,,0,0,11,17
Mason Holgate,40,35,35,20,1,,3,0,1,0,5,76,0,Everton,12,51,,,87,103,1,14,,0,0,21,0,0,0,0,0,46,0,0,23,0,5,0,0,705,35.25,0,0,Defender,0,93,0,0,,0,0,9,0,76,42,,0,0,9,2
Jordan Holmes,0,0,0,0,0,0,0,0,0,0,0,,0,Eastbourne Borough,,,,,,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Goalkeeper,0,,0,0,,0,0,0,0,,0,,0,0,0,0
Tareiq Holmes-Dennis,0,0,0,0,0,,0,0,0,0,0,0,0,Portsmouth,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0
Will Hughes,0,0,0,0,0,,0,0,0,0,0,0,0,Watford,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Uwe Hünemeier,0,0,0,0,0,,0,0,0,0,0,0,0,Brighton and Hove Albion,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0
Robert Huth,376,419,728,322,7,,7,0,71,0,75,2351,1,Leicester City,17,24,,,924,1423,5,355,,0,21,332,0,0,11,1,8,839,0,8,523,9,108,8,3,5539,17.2,0,0,Defender,0,920,2,0,,0,0,34,0,78,466,,5,0,121,68
Emerson Hyndman,0,0,0,0,0,,0,0,0,0,0,0,0,AFC Bournemouth,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Pierre-Emile Højbjerg,47,12,17,22,0,,0,1,9,0,0,25,0,Southampton,40,20,,,97,104,0,19,,0,0,0,0,22,0,0,0,15,0,2,33,0,8,0,0,1001,45.5,0,0,Midfielder,0,147,0,0,14,28,4,15,0,70,44,,4,0,9,2
Jordon Ibe,20,24,6,70,5,,3,1,24,0,0,8,0,AFC Bournemouth,20,143,,,256,212,0,24,,0,1,0,0,0.01,0,1,0,3,0,4,17,0,26,3,0,1220,17.43,0,0,Midfielder,0,198,0,0,18,60,11,131,0,90,29,,6,0,26,0
Vicente Iborra,0,0,0,0,0,,0,0,0,0,0,0,0,Leicester City,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Zlatan Ibrahimovic,,0,0,28,5,,8,18,32,0,0,22,0,Manchester United,,18,,,,,0,54,,0,17,0,0,0.61,4,2,11,18,0,1,10,0,3,37,0,1041,37.18,0,2,Forward,0,,0,0,40,115,46,0,0,,10,,0,0,15,7
Kelechi Iheanacho,,0,0,49,4,,5,4,20,0,0,8,0,Leicester City,,15,,,,,0,27,,0,12,0,0,0.24,1,9,1,3,0,0,3,0,14,10,0,573,11.69,0,0,Forward,0,,0,0,37,52,19,0,0,,21,,0,0,23,1
Rohan Ince,0,0,0,0,0,,0,0,0,0,0,0,0,Brighton and Hove Albion,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
Ryan Inniss,0,0,0,0,0,,0,0,0,0,0,0,0,Southend United,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Defender,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0
Stephen Ireland,294,126,44,242,28,,8,9,36,0,0,160,0,Stoke City,26,249,,,812,718,0,194,,0,19,0,0,0.08,0,6,13,24,0,3,338,0,106,38,0,6474,26.75,0,0,Midfielder,0,669,1,0,33,209,70,56,0,78,498,,117,0,71,21
Isaac Success,,0,0,19,1,,0,3,4,0,0,9,0,Watford,,13,,,,,0,12,,0,1,0,0,0.05,1,0,0,5,0,0,7,0,10,1,0,131,6.89,0,0,Forward,0,,0,0,50,14,7,0,0,,16,,0,0,7,2
Alex Iwobi,26,16,6,41,5,,5,2,19,0,0,5,0,Arsenal,19,27,,,107,96,0,10,,0,5,0,0,0.12,1,0,4,2,0,1,11,0,10,3,0,1323,32.27,0,0,Midfielder,0,141,0,0,33,54,18,44,0,75,28,,9,0,21,1
Jacob Murphy,0,3,0,3,0,,0,0,2,0,0,1,0,Newcastle United,2,2,,,7,2,0,2,,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,14,4.67,0,0,Midfielder,0,4,0,0,3,3,0,1,0,100,1,,0,0,2,0
Phil Jagielka,1721,438,689,332,9,,8,0,37,0,100,2789,8,Everton,30,126,,,841,1690,6,148,,0,17,365,0,0,10,0,7,985,0,7,579,24,102,3,6,13733,41.36,0,0,Defender,0,1487,1,0,,0,0,34,0,76,665,,11,0,132,21
Eldin Jakupovic,185,0,0,26,0,0,0,0,0,9,6,,0,Leicester City,,,,,,,1,0,255,,0,41,0,0,0,0,0,0,20,0,0,0,12,0,0,727,27.96,2,0,Goalkeeper,14,,0,86,,0,0,0,16,,0,,0,98,8,0
Matty James,47,35,51,32,1,,3,3,11,0,0,46,0,Barnsley,29,108,,,108,138,0,20,,0,0,0,0,32,0,0,0,25,0,0,56,0,17,0,0,945,29.53,0,0,Midfielder,0,163,1,0,19,31,6,18,0,82,49,,1,0,10,3
Daryl Janmaat,202,92,83,99,11,,14,0,26,0,12,218,0,Watford,21,315,,,380,426,0,78,,0,6,159,0,0,0,2,4,94,0,1,162,1,53,12,0,3302,33.35,0,0,Defender,0,442,2,0,,0,0,82,0,74,232,,6,0,28,13
Adnan Januzaj,54,74,26,75,6,,8,1,39,0,0,37,0,Real Sociedad,25,204,,,417,333,0,75,,0,5,0,0,0.07,0,2,3,16,0,2,32,0,32,7,0,1316,17.55,0,0,Midfielder,0,209,1,0,25,102,25,132,0,82,51,,16,0,26,11
Carl Jenkinson,157,76,63,90,5,,6,0,7,0,18,246,0,Birmingham City,16,315,,,265,251,3,56,,0,3,87,0,0,0,1,2,107,0,0,74,4,24,1,1,2866,31.84,0,0,Defender,0,316,3,0,,0,0,37,0,72,126,,3,0,40,6
Jesé,,0,0,4,0,,0,1,2,0,0,2,0,Stoke City,,4,,,,,0,1,,0,1,0,0,0.25,0,1,0,2,0,0,0,0,1,1,0,55,13.75,0,0,Forward,0,,0,0,50,6,3,0,0,,3,,0,0,1,0
Jesús Gámez,2,0,1,1,0,,0,0,0,0,1,5,0,Newcastle United,25,4,,,2,5,0,0,,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,37,37,0,0,Defender,0,6,0,0,,0,0,0,0,33,3,,0,0,1,0
Joe Willock,0,0,0,0,0,,0,0,0,0,0,0,0,Arsenal,0,0,,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Midfielder,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0
